Unidade;UF;Edital;Cargo;Vagas;Ampla_Concorrencia;PcD;Pretos_Pardos;Indigenas;Quilombolas;PPIQ;Total;Lotacao;Outros;Formato;Pagina_PDF;Fonte_PDF
DSEI Guamá-Tocantins;PA;88/2025;Enfermeiro;;8 + CR;1 + CR;;;;4 + CR;13 + CR;POLO BASE PARAUAPEBAS (3 VAGAS + CR);;bordered;2;https://agenciasus.org.br/shared-files/19540/?Anexos-do-Processo-Seletivo-Simplificado-no-88-2025-–-DSEI-Guama-Tocantins.pdf
DSEI Araguaia;MT;90/2025;Apoiador Técnico de Saneamento;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Apoiador Técnico em Saúde;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Assistente Social;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Cirurgião Dentista (40h);;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Enfermeiro;;2 + CR;-;;;;1 + CR;3;Pólo Base de São Félix do Araguaia - MT/Casai Goiânia - GO;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Engenheiro Civil;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Farmacêutico;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Fisioterapeuta;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Nutricionista;;1 + CR;-;;;;1 + CR;2;Pólo Base de Confresa/ Pólo Base de São Félix do Araguaia - MT;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Psicólogo;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Supervisor de Saúde Ambiental;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Técnico de Edificações;;1 + CR;-;;;;CR;1;Abrangência DSEI Araguaia;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Técnico de Enfermagem;;1 + CR;-;;;;CR;1;Pólo Base de São Félix do Araguaia - MT;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Técnico de Saúde Bucal (TSB);;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Técnico Eletrotécnico;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Técnico em Saneamento e Controle Ambiental;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Araguaia;MT;90/2025;Agente de Combate a Endemias;;CR;-;;;;CR;-;CR;;bordered;2;https://agenciasus.org.br/shared-files/19340/?Edital-No-90-Retificacao-Anexos.pdf
DSEI Alagoas e Sergipe;AL;34/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32800/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-342026-–-DSEI-ALSE.pdf
DSEI Altamira;PA;39/2026;SANITARISTA 40H;;1;*;1;*;;;2+CR;;QUILOMBOL AS=*;bordered;2;https://agenciasus.org.br/shared-files/32767/?Anexos-Altamira.pdf
DSEI Alto Rio Juruá;AC;40/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32867/?Anexos-Alto-Rio-Jurua.pdf
DSEI Alto Rio Negro;AM;41/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32822/?anexos-arn.pdf
DSEI Alto Rio Purus;AC;42/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32772/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-422026-–-DSEI-Alto-Rio-Purus.pdf
DSEI Alto Rio Solimões;AM;43/2026;SANITARISTA 40H;;1;*;1;*;;;2+CR;;QUILOMBOL AS=*;bordered;2;https://agenciasus.org.br/shared-files/32927/?Alto-Rio-Solimoes-1.pdf
DSEI Amapá e Norte do Pará;AP;44/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32860/?Anexos-Amapa-e-Norte-do-Para-1.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Analista Técnico de Saúde Indígena;;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Analista Especializado de Saúde Indígena;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Antropólogo;;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Apoiador Técnico de Saneamento;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Apoiador Técnico em Saúde;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Arquiteto e Urbanista;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Assistente Social;;2;-;;;;-;2;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Biólogo;;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Cirurgião Dentista (20h);;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Cirurgião Dentista (40h);;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Enfermeiro;;1;1;;;;1;3;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Engenheiro Civil;;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Engenheiro Eletricista;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Engenheiro Sanitarista;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Farmacêutico;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Fisioterapeuta;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Geólogo;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Médico (20h);;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Médico (40h);;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Médico Veterinário;;-;-;;;;-;-;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Amapá e Norte do Pará;AP;84/2025;Nutricionista;;1;-;;;;-;1;;;bordered;2;https://agenciasus.org.br/shared-files/19338/?Edital-No-84-Retificacao-Anexos.pdf
DSEI Araguaia;MT;45/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32857/?DSEI-Araguaia.pdf
DSEI Bahia;BA;46/2026;SANITARISTA 40H;;1;*;1;*;;;2+CR;;QUILOMBOL AS=*;bordered;2;https://agenciasus.org.br/shared-files/32931/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-46.2026-DSEI-Bahia.pdf
DSEI Cuiabá;MT;48/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32784/?Anexos-CGB.pdf
DSEI Interior Sul;SC;50/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32828/?Anexos-ISUL-2.pdf
DSEI Kaiapó de Mato Grosso;MT;51/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32839/?Anexo-KMT.pdf
DSEI Kaiapó do Pará;PA;52/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32812/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-522026-–-DSEI-KPA.pdf
DSEI Leste de Roraima;RR;53/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32880/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-532026-–-DSEI-LRR.pdf
DSEI Manaus;AM;55/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32836/?Anexos-MAO.pdf
DSEI Maranhão;MA;56/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32870/?Anexos-MA.pdf
DSEI Médio Rio Purus;AM;58/2026;SANITARISTA 40H;;1;*;1;*;;;2+CR;;QUILOMBOL AS=*;bordered;2;https://agenciasus.org.br/shared-files/32803/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-582026-–-DSEI-MRP.pdf
DSEI Porto Velho;RO;63/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32819/?Anexos-de-processo-simplificado-sanitarista-Porto-Velho.pdf
DSEI Rio Tapajós;PA;65/2025;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32816/?Anexos-de-processo-simplificado-sanitarista-Rio-Tapajos-1.pdf
DSEI Tocantins;TO;66/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32863/?Anexos-de-processo-simplificado-sanitarista-Tocantins-1.pdf
DSEI Vilhena;RO;68/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32791/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-682026-–-DSEI-Vilhena.pdf
DSEI Xavante;MT;69/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/33043/?Anexos-Xavante-Sanitarista.pdf
DSEI Xingu;MT;70/2026;SANITARISTA 40H;;1;*;1;*;*;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32852/?Anexos-de-processo-simplificado-sanitarista-Xingu-1-1.pdf
DSEI Yanomami;RR;37/2026;Advogado 40h;;1;CR;CR;CR;CR;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Ajudante de Campo 40h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Analista Administrativo 40h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Analista Especializado de Saúde Indígena 40h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Analista Técnico de Saúde Indígena 40h;;1;CR;1;CR;CR;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Antropólogo 40h;;5;1;2;CR;CR;;8+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Apoiador Técnico de Saneamento 40h;;1;CR;CR;CR;CR;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Apoiador Técnico em Saúde 40h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Arquiteto e Urbanista 40h;;1;CR;CR;CR;CR;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Assistente Administrativo 40h;;3;CR;1;CR;CR;;4+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Assistente Social 30h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Auxiliar Administrativo 40h;;CR;CR;CR;CR;CR;;CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Auxiliar de Cozinha 30h;;1;CR;1;CR;CR;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Biólogo 40h;;1;CR;CR;CR;CR;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Cirurgião Dentista 40h;;1;CR;1;CR;CR;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Digitador 40h;;3;1;1;CR;CR;;5+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Enfermeiro 40h;;11;1;5;1;CR;;18+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Engenheiro Civil 40h;;1;CR;CR;CR;CR;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Yanomami;RR;37/2026;Engenheiro Eletricista 40h;;1;CR;1;CR;CR;;2+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32969/?Anexos-Yanomami-.pdf
DSEI Ceará;CE;47/2026;SANITARISTA 40H;;1;*;*;*;*;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32787/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-472026-–-DSEI-CE.pdf
DSEI Litoral Sul;PR;54/2026;SANITARISTA 40H;;1;*;*;*;*;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32833/?Anexo-LSUL.pdf
DSEI Maranhão;MA;76/2025;Apoiador Técnico de Saneamento;;1 + CR;-;;;;-;1;Sede do DSEI;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Apoiador Técnico em Saúde;;1 + CR;-;;;;-;1;Sede do DSEI;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Assistente Social;;1 + CR;-;;;;-;1;CASAI Teresina;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Enfermeiro;;1 + CR;-;;;;1;2;Polo Base de Base de Barra do Corda;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Engenheiro Civil;;-;-;;;;-;-;-;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Farmacêutico;;1 + CR;-;;;;-;1;CASAI São Luís;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Nutricionista;;-;-;;;;-;-;-;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Psicólogo;;1 + CR;-;;;;-;1;Sede do DSEI;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Cirurgião Dentista (40h);;1 + CR;-;;;;-;1;Polo Base de Amarante / Região Bom Jesus das Selvas;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Agente de Combate a Endemias;;-;-;;;;-;-;-;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Assistente Administrativo;;1 + CR;-;;;;-;1;Sede do DSEI;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Auxiliar Administrativo;;-;-;;;;-;-;-;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Auxiliar de Saúde Bucal (ASB);;1 + CR;-;;;;-;1;Polo Base de Amarante;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Maranhão;MA;76/2025;Supervisor de Saúde Ambiental;;-;-;;;;-;-;-;;bordered;2;https://agenciasus.org.br/shared-files/19342/?Edital-No-76-Retificacao-Anexos.pdf
DSEI Mato Grosso do Sul;MS;57/2026;SANITARISTA 40H;;1;*;*;*;*;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32810/?Anexos-MS-1.pdf
DSEI Minas Gerais e Espírito Santo;MG;60/2026;SANITARISTA 40H;;1;*;*;*;*;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32877/?Anexos-do-Processo-Seletivo-Simplificado-Sanitarista-no-602026-–-DSEI-MGES.pdf
DSEI Potiguara;PB;64/2026;SANITARISTA 40H;;1;*;*;*;*;;1+CR;;;bordered;2;https://agenciasus.org.br/shared-files/32798/?Anexos-de-processo-simplificado-sanitarista-Potiguara.pdf
CASAI Brasília;DF;39/2025;Analista Técnico de Saúde Indígena;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Analista Especializado de Saúde Indígena;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Antropólogo;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Apoiador Técnico de Saneamento;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Apoiador Técnico em Saúde;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Arquiteto e Urbanista;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Assistente Social;;01;-;-;;;;01;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Biólogo;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Cirurgião Dentista (40h);;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Enfermeiro;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Engenheiro Civil;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Engenheiro Eletricista;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Engenheiro Sanitarista;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Farmacêutico;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Fisioterapeuta;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Geólogo;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Médico (20h);;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Médico (40h);;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
CASAI Brasília;DF;39/2025;Médico Veterinário;;CR;-;-;;;;-;;;bordered;1;https://agenciasus.org.br/shared-files/18182/?Edital-no-392025-3-Anexo-II-Quadro-de-Vagas-CASAI-NACIONAL-BRASILIA.pdf
DSEI Alto Rio Negro;AM;92/2025;Analista Técnico de Saúde Indígena;;1 + CR;-;;;;CR;1 + CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Analista Especializado de Saúde Indígena;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Antropólogo;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Apoiador Técnico de Saneamento;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Apoiador Técnico em Saúde;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Arquiteto e Urbanista;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Assistente Social;;1 + CR;-;;;;CR;1 + CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Biólogo;;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Cirurgião Dentista (20h);;CR;-;;;;CR;CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Cirurgião Dentista (40h);;1 + CR;-;;;;CR;1 + CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
DSEI Alto Rio Negro;AM;92/2025;Enfermeiro;;2 + CR;-;;;;1 + CR;3 + CR;;;bordered;2;https://agenciasus.org.br/shared-files/19335/?Edital-No-92-Retificacao-Anexos.pdf
